2026-02-08 00:32:10,911 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:32:10,912 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:32:10,913 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:32:10,914 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:32:11,277 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:32:11,633 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:32:12,242 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:32:12,678 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:32:13,228 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:32:13,786 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:32:14,168 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:32:14,530 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:32:15,114 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:32:15,479 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:32:15,962 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:32:16,467 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:32:16,877 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:32:17,653 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:32:18,013 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:32:18,469 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:32:18,814 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:32:19,255 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:32:19,674 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:32:20,137 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:32:20,629 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:32:21,344 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:32:21,942 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:32:22,470 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:32:22,818 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:32:23,282 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:32:23,770 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:32:24,282 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
2026-02-08 00:32:25,119 | INFO | dataset_split.dataset_splitter | pizza → Train=200, Val=50, Test=10
2026-02-08 00:32:25,696 | INFO | dataset_split.dataset_splitter | samosa → Train=200, Val=50, Test=10
2026-02-08 00:32:26,062 | INFO | dataset_split.dataset_splitter | Sandwich → Train=200, Val=50, Test=10
2026-02-08 00:32:26,413 | INFO | dataset_split.dataset_splitter | sushi → Train=200, Val=50, Test=10
2026-02-08 00:32:26,763 | INFO | dataset_split.dataset_splitter | Taco → Train=200, Val=50, Test=10
2026-02-08 00:32:27,125 | INFO | dataset_split.dataset_splitter | Taquito → Train=200, Val=50, Test=10
2026-02-08 00:32:27,125 | INFO | dataset_split.dataset_splitter | Dataset split completed successfully
2026-02-08 00:32:27,126 | INFO | dataset_split.dataset_splitter | Total classes in train: 34
2026-02-08 00:32:27,126 | INFO | dataset_split.dataset_splitter | Total classes in val: 34
2026-02-08 00:32:27,126 | INFO | dataset_split.dataset_splitter | Total classes in test: 34
2026-02-08 00:43:15,650 | INFO | dataset_split.dataset_splitter | Dataset splitting started
2026-02-08 00:43:15,651 | INFO | dataset_split.dataset_splitter | Created directory: data_split\train
2026-02-08 00:43:15,652 | INFO | dataset_split.dataset_splitter | Created directory: data_split\val
2026-02-08 00:43:15,652 | INFO | dataset_split.dataset_splitter | Created directory: data_split\test
2026-02-08 00:43:16,007 | INFO | dataset_split.dataset_splitter | apple_pie → Train=200, Val=50, Test=10
2026-02-08 00:43:16,414 | INFO | dataset_split.dataset_splitter | Baked Potato → Train=200, Val=50, Test=10
2026-02-08 00:43:17,041 | INFO | dataset_split.dataset_splitter | burger → Train=200, Val=50, Test=10
2026-02-08 00:43:17,466 | INFO | dataset_split.dataset_splitter | butter_naan → Train=200, Val=50, Test=10
2026-02-08 00:43:18,041 | INFO | dataset_split.dataset_splitter | chai → Train=200, Val=50, Test=10
2026-02-08 00:43:18,783 | INFO | dataset_split.dataset_splitter | chapati → Train=200, Val=50, Test=10
2026-02-08 00:43:19,130 | INFO | dataset_split.dataset_splitter | cheesecake → Train=200, Val=50, Test=10
2026-02-08 00:43:19,502 | INFO | dataset_split.dataset_splitter | chicken_curry → Train=200, Val=50, Test=10
2026-02-08 00:43:20,102 | INFO | dataset_split.dataset_splitter | chole_bhature → Train=200, Val=50, Test=10
2026-02-08 00:43:20,457 | INFO | dataset_split.dataset_splitter | Crispy Chicken → Train=200, Val=50, Test=10
2026-02-08 00:43:20,930 | INFO | dataset_split.dataset_splitter | dal_makhani → Train=200, Val=50, Test=10
2026-02-08 00:43:21,445 | INFO | dataset_split.dataset_splitter | dhokla → Train=200, Val=50, Test=10
2026-02-08 00:43:21,808 | INFO | dataset_split.dataset_splitter | Donut → Train=200, Val=50, Test=10
2026-02-08 00:43:22,724 | INFO | dataset_split.dataset_splitter | fried_rice → Train=200, Val=50, Test=10
2026-02-08 00:43:23,072 | INFO | dataset_split.dataset_splitter | Fries → Train=200, Val=50, Test=10
2026-02-08 00:43:23,483 | INFO | dataset_split.dataset_splitter | Hot Dog → Train=200, Val=50, Test=10
2026-02-08 00:43:23,853 | INFO | dataset_split.dataset_splitter | ice_cream → Train=200, Val=50, Test=10
2026-02-08 00:43:24,302 | INFO | dataset_split.dataset_splitter | idli → Train=200, Val=50, Test=10
2026-02-08 00:43:24,708 | INFO | dataset_split.dataset_splitter | jalebi → Train=200, Val=50, Test=10
2026-02-08 00:43:25,265 | INFO | dataset_split.dataset_splitter | kaathi_rolls → Train=200, Val=50, Test=10
2026-02-08 00:43:25,749 | INFO | dataset_split.dataset_splitter | kadai_paneer → Train=200, Val=50, Test=10
2026-02-08 00:43:26,341 | INFO | dataset_split.dataset_splitter | kulfi → Train=200, Val=50, Test=10
2026-02-08 00:43:27,072 | INFO | dataset_split.dataset_splitter | masala_dosa → Train=200, Val=50, Test=10
2026-02-08 00:43:27,541 | INFO | dataset_split.dataset_splitter | momos → Train=200, Val=50, Test=10
2026-02-08 00:43:27,916 | INFO | dataset_split.dataset_splitter | omelette → Train=200, Val=50, Test=10
2026-02-08 00:43:28,394 | INFO | dataset_split.dataset_splitter | paani_puri → Train=200, Val=50, Test=10
2026-02-08 00:43:28,769 | INFO | dataset_split.dataset_splitter | pakode → Train=200, Val=50, Test=10
2026-02-08 00:43:29,445 | INFO | dataset_split.dataset_splitter | pav_bhaji → Train=200, Val=50, Test=10
