2026-02-08 00:32:27,127 | INFO | main | Program started
2026-02-08 00:32:27,128 | INFO | main | Loading food nutrition data
2026-02-08 00:32:27,130 | INFO | main | Total number of food items: 34
2026-02-08 00:32:27,131 | INFO | main | ✅ food_nutrition_data.json saved successfully
2026-02-08 00:32:27,138 | INFO | main.redis | Redis already running
2026-02-08 00:32:27,147 | INFO | main.redis | Connected to Redis
2026-02-08 00:32:27,147 | INFO | main.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 00:32:27,148 | INFO | main.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 00:32:27,149 | INFO | main.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 00:32:27,149 | INFO | main.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 00:32:27,150 | INFO | main.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 00:32:27,150 | INFO | main.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 00:32:27,151 | INFO | main.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 00:32:27,151 | INFO | main.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 00:32:27,152 | INFO | main.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 00:32:27,152 | INFO | main.redis | Stored 'burger' under key 'food:burger'
2026-02-08 00:32:27,153 | INFO | main.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 00:32:27,154 | INFO | main.redis | Stored 'chai' under key 'food:chai'
2026-02-08 00:32:27,154 | INFO | main.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 00:32:27,155 | INFO | main.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 00:32:27,155 | INFO | main.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 00:32:27,155 | INFO | main.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 00:32:27,157 | INFO | main.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 00:32:27,158 | INFO | main.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 00:32:27,158 | INFO | main.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 00:32:27,159 | INFO | main.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 00:32:27,160 | INFO | main.redis | Stored 'idli' under key 'food:idli'
2026-02-08 00:32:27,160 | INFO | main.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 00:32:27,161 | INFO | main.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 00:32:27,162 | INFO | main.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
