2026-02-08 00:50:26,810 | INFO | redis_loader.redis | Redis already running
2026-02-08 00:50:26,821 | INFO | redis_loader.redis | Connected to Redis
2026-02-08 00:50:26,822 | INFO | redis_loader.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 00:50:26,822 | INFO | redis_loader.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 00:50:26,823 | INFO | redis_loader.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 00:50:26,824 | INFO | redis_loader.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 00:50:26,824 | INFO | redis_loader.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 00:50:26,825 | INFO | redis_loader.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 00:50:26,825 | INFO | redis_loader.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 00:50:26,826 | INFO | redis_loader.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 00:50:26,826 | INFO | redis_loader.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 00:50:26,827 | INFO | redis_loader.redis | Stored 'burger' under key 'food:burger'
2026-02-08 00:50:26,827 | INFO | redis_loader.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 00:50:26,828 | INFO | redis_loader.redis | Stored 'chai' under key 'food:chai'
2026-02-08 00:50:26,829 | INFO | redis_loader.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 00:50:26,829 | INFO | redis_loader.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 00:50:26,830 | INFO | redis_loader.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 00:50:26,830 | INFO | redis_loader.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 00:50:26,830 | INFO | redis_loader.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 00:50:26,831 | INFO | redis_loader.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 00:50:26,831 | INFO | redis_loader.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 00:50:26,832 | INFO | redis_loader.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 00:50:26,832 | INFO | redis_loader.redis | Stored 'idli' under key 'food:idli'
2026-02-08 00:50:26,833 | INFO | redis_loader.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 00:50:26,834 | INFO | redis_loader.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 00:50:26,835 | INFO | redis_loader.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
2026-02-08 00:50:26,835 | INFO | redis_loader.redis | Stored 'kulfi' under key 'food:kulfi'
2026-02-08 00:50:26,836 | INFO | redis_loader.redis | Stored 'masala_dosa' under key 'food:masala_dosa'
2026-02-08 00:50:26,837 | INFO | redis_loader.redis | Stored 'momos' under key 'food:momos'
2026-02-08 00:50:26,837 | INFO | redis_loader.redis | Stored 'omelette' under key 'food:omelette'
2026-02-08 00:50:26,838 | INFO | redis_loader.redis | Stored 'paani_puri' under key 'food:paani_puri'
2026-02-08 00:50:26,839 | INFO | redis_loader.redis | Stored 'pakode' under key 'food:pakode'
2026-02-08 00:50:26,839 | INFO | redis_loader.redis | Stored 'pav_bhaji' under key 'food:pav_bhaji'
2026-02-08 00:50:26,840 | INFO | redis_loader.redis | Stored 'pizza' under key 'food:pizza'
2026-02-08 00:50:26,841 | INFO | redis_loader.redis | Stored 'samosa' under key 'food:samosa'
2026-02-08 00:50:26,842 | INFO | redis_loader.redis | Stored 'sushi' under key 'food:sushi'
2026-02-08 00:50:26,842 | INFO | redis_loader.redis | All food items stored in Redis
2026-02-08 00:51:44,414 | INFO | redis_loader.redis | Redis already running
2026-02-08 00:51:44,423 | INFO | redis_loader.redis | Connected to Redis
2026-02-08 00:51:44,424 | INFO | redis_loader.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 00:51:44,424 | INFO | redis_loader.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 00:51:44,425 | INFO | redis_loader.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 00:51:44,426 | INFO | redis_loader.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 00:51:44,426 | INFO | redis_loader.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 00:51:44,427 | INFO | redis_loader.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 00:51:44,427 | INFO | redis_loader.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 00:51:44,428 | INFO | redis_loader.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 00:51:44,428 | INFO | redis_loader.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 00:51:44,429 | INFO | redis_loader.redis | Stored 'burger' under key 'food:burger'
2026-02-08 00:51:44,429 | INFO | redis_loader.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 00:51:44,430 | INFO | redis_loader.redis | Stored 'chai' under key 'food:chai'
2026-02-08 00:51:44,430 | INFO | redis_loader.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 00:51:44,431 | INFO | redis_loader.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 00:51:44,433 | INFO | redis_loader.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 00:51:44,434 | INFO | redis_loader.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 00:51:44,435 | INFO | redis_loader.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 00:51:44,435 | INFO | redis_loader.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 00:51:44,436 | INFO | redis_loader.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 00:51:44,437 | INFO | redis_loader.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 00:51:44,437 | INFO | redis_loader.redis | Stored 'idli' under key 'food:idli'
2026-02-08 00:51:44,438 | INFO | redis_loader.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 00:51:44,439 | INFO | redis_loader.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 00:51:44,439 | INFO | redis_loader.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
2026-02-08 00:51:44,440 | INFO | redis_loader.redis | Stored 'kulfi' under key 'food:kulfi'
2026-02-08 00:51:44,440 | INFO | redis_loader.redis | Stored 'masala_dosa' under key 'food:masala_dosa'
2026-02-08 00:51:44,441 | INFO | redis_loader.redis | Stored 'momos' under key 'food:momos'
2026-02-08 00:51:44,441 | INFO | redis_loader.redis | Stored 'omelette' under key 'food:omelette'
2026-02-08 00:51:44,442 | INFO | redis_loader.redis | Stored 'paani_puri' under key 'food:paani_puri'
2026-02-08 00:51:44,442 | INFO | redis_loader.redis | Stored 'pakode' under key 'food:pakode'
2026-02-08 00:51:44,443 | INFO | redis_loader.redis | Stored 'pav_bhaji' under key 'food:pav_bhaji'
2026-02-08 00:51:44,444 | INFO | redis_loader.redis | Stored 'pizza' under key 'food:pizza'
2026-02-08 00:51:44,444 | INFO | redis_loader.redis | Stored 'samosa' under key 'food:samosa'
2026-02-08 00:51:44,445 | INFO | redis_loader.redis | Stored 'sushi' under key 'food:sushi'
2026-02-08 00:51:44,445 | INFO | redis_loader.redis | All food items stored in Redis
2026-02-08 01:07:04,240 | INFO | redis_loader.redis | Redis already running
2026-02-08 01:07:04,249 | INFO | redis_loader.redis | Connected to Redis
2026-02-08 01:07:04,250 | INFO | redis_loader.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-08 01:07:04,251 | INFO | redis_loader.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-08 01:07:04,251 | INFO | redis_loader.redis | Stored 'Donut' under key 'food:Donut'
2026-02-08 01:07:04,252 | INFO | redis_loader.redis | Stored 'Fries' under key 'food:Fries'
2026-02-08 01:07:04,252 | INFO | redis_loader.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-08 01:07:04,253 | INFO | redis_loader.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-08 01:07:04,253 | INFO | redis_loader.redis | Stored 'Taco' under key 'food:Taco'
2026-02-08 01:07:04,254 | INFO | redis_loader.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-08 01:07:04,254 | INFO | redis_loader.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-08 01:07:04,255 | INFO | redis_loader.redis | Stored 'burger' under key 'food:burger'
2026-02-08 01:07:04,256 | INFO | redis_loader.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-08 01:07:04,256 | INFO | redis_loader.redis | Stored 'chai' under key 'food:chai'
2026-02-08 01:07:04,257 | INFO | redis_loader.redis | Stored 'chapati' under key 'food:chapati'
2026-02-08 01:07:04,258 | INFO | redis_loader.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-08 01:07:04,259 | INFO | redis_loader.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-08 01:07:04,260 | INFO | redis_loader.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-08 01:07:04,260 | INFO | redis_loader.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-08 01:07:04,261 | INFO | redis_loader.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-08 01:07:04,262 | INFO | redis_loader.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-08 01:07:04,262 | INFO | redis_loader.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-08 01:07:04,263 | INFO | redis_loader.redis | Stored 'idli' under key 'food:idli'
2026-02-08 01:07:04,263 | INFO | redis_loader.redis | Stored 'jalebi' under key 'food:jalebi'
2026-02-08 01:07:04,264 | INFO | redis_loader.redis | Stored 'kaathi_rolls' under key 'food:kaathi_rolls'
2026-02-08 01:07:04,265 | INFO | redis_loader.redis | Stored 'kadai_paneer' under key 'food:kadai_paneer'
2026-02-08 01:07:04,265 | INFO | redis_loader.redis | Stored 'kulfi' under key 'food:kulfi'
2026-02-08 01:07:04,266 | INFO | redis_loader.redis | Stored 'masala_dosa' under key 'food:masala_dosa'
2026-02-08 01:07:04,266 | INFO | redis_loader.redis | Stored 'momos' under key 'food:momos'
2026-02-08 01:07:04,267 | INFO | redis_loader.redis | Stored 'omelette' under key 'food:omelette'
2026-02-08 01:07:04,267 | INFO | redis_loader.redis | Stored 'paani_puri' under key 'food:paani_puri'
2026-02-08 01:07:04,268 | INFO | redis_loader.redis | Stored 'pakode' under key 'food:pakode'
2026-02-08 01:07:04,268 | INFO | redis_loader.redis | Stored 'pav_bhaji' under key 'food:pav_bhaji'
2026-02-08 01:07:04,269 | INFO | redis_loader.redis | Stored 'pizza' under key 'food:pizza'
2026-02-08 01:07:04,269 | INFO | redis_loader.redis | Stored 'samosa' under key 'food:samosa'
2026-02-08 01:07:04,270 | INFO | redis_loader.redis | Stored 'sushi' under key 'food:sushi'
2026-02-08 01:07:04,270 | INFO | redis_loader.redis | All food items stored in Redis
2026-02-09 22:05:37,930 | INFO | redis_loader.redis | Redis not running. Starting Redis...
2026-02-09 22:05:40,941 | INFO | redis_loader.redis | Redis started successfully
2026-02-09 22:05:40,953 | INFO | redis_loader.redis | Connected to Redis
2026-02-09 22:05:40,955 | INFO | redis_loader.redis | Stored 'Baked Potato' under key 'food:Baked_Potato'
2026-02-09 22:05:40,955 | INFO | redis_loader.redis | Stored 'Crispy Chicken' under key 'food:Crispy_Chicken'
2026-02-09 22:05:40,956 | INFO | redis_loader.redis | Stored 'Donut' under key 'food:Donut'
2026-02-09 22:05:40,957 | INFO | redis_loader.redis | Stored 'Fries' under key 'food:Fries'
2026-02-09 22:05:40,958 | INFO | redis_loader.redis | Stored 'Hot Dog' under key 'food:Hot_Dog'
2026-02-09 22:05:40,958 | INFO | redis_loader.redis | Stored 'Sandwich' under key 'food:Sandwich'
2026-02-09 22:05:40,959 | INFO | redis_loader.redis | Stored 'Taco' under key 'food:Taco'
2026-02-09 22:05:40,960 | INFO | redis_loader.redis | Stored 'Taquito' under key 'food:Taquito'
2026-02-09 22:05:40,960 | INFO | redis_loader.redis | Stored 'apple_pie' under key 'food:apple_pie'
2026-02-09 22:05:40,961 | INFO | redis_loader.redis | Stored 'burger' under key 'food:burger'
2026-02-09 22:05:40,962 | INFO | redis_loader.redis | Stored 'butter_naan' under key 'food:butter_naan'
2026-02-09 22:05:40,963 | INFO | redis_loader.redis | Stored 'chai' under key 'food:chai'
2026-02-09 22:05:40,963 | INFO | redis_loader.redis | Stored 'chapati' under key 'food:chapati'
2026-02-09 22:05:40,964 | INFO | redis_loader.redis | Stored 'cheesecake' under key 'food:cheesecake'
2026-02-09 22:05:40,965 | INFO | redis_loader.redis | Stored 'chicken_curry' under key 'food:chicken_curry'
2026-02-09 22:05:40,966 | INFO | redis_loader.redis | Stored 'chole_bhature' under key 'food:chole_bhature'
2026-02-09 22:05:40,966 | INFO | redis_loader.redis | Stored 'dal_makhani' under key 'food:dal_makhani'
2026-02-09 22:05:40,968 | INFO | redis_loader.redis | Stored 'dhokla' under key 'food:dhokla'
2026-02-09 22:05:40,969 | INFO | redis_loader.redis | Stored 'fried_rice' under key 'food:fried_rice'
2026-02-09 22:05:40,970 | INFO | redis_loader.redis | Stored 'ice_cream' under key 'food:ice_cream'
2026-02-09 22:05:40,971 | INFO | redis_loader.redis | Stored 'idli' under key 'food:idli'
2026-02-09 22:05:40,972 | INFO | redis_loader.redis | Stored 'jalebi' under key 'food:jalebi'
